"""LALY""","x","y"
"LALY",-115.7625,51.6625
"LALY",-115.754166666666,51.6625
"LALY",-115.745833333333,51.6625
"LALY",-115.7375,51.6625
"LALY",-115.729166666666,51.6625
"LALY",-115.720833333333,51.6625
"LALY",-115.7125,51.6625
"LALY",-115.704166666666,51.6625
"LALY",-115.695833333333,51.6625
"LALY",-115.6875,51.6625
"LALY",-115.679166666666,51.6625
"LALY",-115.795833333333,51.6541666666667
"LALY",-115.7875,51.6541666666667
"LALY",-115.779166666666,51.6541666666667
"LALY",-115.770833333333,51.6541666666667
"LALY",-115.7625,51.6541666666667
"LALY",-115.754166666666,51.6541666666667
"LALY",-115.745833333333,51.6541666666667
"LALY",-115.7375,51.6541666666667
"LALY",-115.729166666666,51.6541666666667
"LALY",-115.720833333333,51.6541666666667
"LALY",-115.7125,51.6541666666667
"LALY",-115.704166666666,51.6541666666667
"LALY",-115.695833333333,51.6541666666667
"LALY",-115.6875,51.6541666666667
"LALY",-115.679166666666,51.6541666666667
"LALY",-115.670833333333,51.6541666666667
"LALY",-115.6625,51.6541666666667
"LALY",-115.654166666666,51.6541666666667
"LALY",-115.645833333333,51.6541666666667
"LALY",-115.8375,51.6458333333334
"LALY",-115.829166666666,51.6458333333334
"LALY",-115.820833333333,51.6458333333334
"LALY",-115.8125,51.6458333333334
"LALY",-115.804166666666,51.6458333333334
"LALY",-115.795833333333,51.6458333333334
"LALY",-115.7875,51.6458333333334
"LALY",-115.779166666666,51.6458333333334
"LALY",-115.770833333333,51.6458333333334
"LALY",-115.7625,51.6458333333334
"LALY",-115.754166666666,51.6458333333334
"LALY",-115.745833333333,51.6458333333334
"LALY",-115.7375,51.6458333333334
"LALY",-115.729166666666,51.6458333333334
"LALY",-115.720833333333,51.6458333333334
"LALY",-115.7125,51.6458333333334
"LALY",-115.704166666666,51.6458333333334
"LALY",-115.695833333333,51.6458333333334
"LALY",-115.6875,51.6458333333334
"LALY",-115.679166666666,51.6458333333334
"LALY",-115.670833333333,51.6458333333334
"LALY",-115.6625,51.6458333333334
"LALY",-115.654166666666,51.6458333333334
"LALY",-115.645833333333,51.6458333333334
"LALY",-115.6375,51.6458333333334
"LALY",-115.629166666666,51.6458333333334
"LALY",-115.8875,51.6375
"LALY",-115.879166666666,51.6375
"LALY",-115.870833333333,51.6375
"LALY",-115.8625,51.6375
"LALY",-115.854166666666,51.6375
"LALY",-115.845833333333,51.6375
"LALY",-115.8375,51.6375
"LALY",-115.829166666666,51.6375
"LALY",-115.820833333333,51.6375
"LALY",-115.8125,51.6375
"LALY",-115.804166666666,51.6375
"LALY",-115.795833333333,51.6375
"LALY",-115.7875,51.6375
"LALY",-115.779166666666,51.6375
"LALY",-115.770833333333,51.6375
"LALY",-115.7625,51.6375
"LALY",-115.754166666666,51.6375
"LALY",-115.745833333333,51.6375
"LALY",-115.7375,51.6375
"LALY",-115.729166666666,51.6375
"LALY",-115.720833333333,51.6375
"LALY",-115.7125,51.6375
"LALY",-115.704166666666,51.6375
"LALY",-115.695833333333,51.6375
"LALY",-115.6875,51.6375
"LALY",-115.679166666666,51.6375
"LALY",-115.670833333333,51.6375
"LALY",-115.6625,51.6375
"LALY",-115.654166666666,51.6375
"LALY",-115.645833333333,51.6375
"LALY",-115.6375,51.6375
"LALY",-115.629166666666,51.6375
"LALY",-115.620833333333,51.6375
"LALY",-115.6125,51.6375
"LALY",-115.979166666666,51.6291666666667
"LALY",-115.970833333333,51.6291666666667
"LALY",-115.9625,51.6291666666667
"LALY",-115.954166666666,51.6291666666667
"LALY",-115.945833333333,51.6291666666667
"LALY",-115.9375,51.6291666666667
"LALY",-115.929166666666,51.6291666666667
"LALY",-115.920833333333,51.6291666666667
"LALY",-115.9125,51.6291666666667
"LALY",-115.904166666666,51.6291666666667
"LALY",-115.895833333333,51.6291666666667
